"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1989-05-01,NA,NA,7.8,NA,NA,NA,NA,26.6,NA,14.6,14.8,-13,9.9,13.6,14.4,NA,24.6,30.4,NA,NA,NA,NA,NA,5.6,NA,NA,3.9,NA,NA,NA,NA,7.3,NA,NA,-2.5
1989-06-01,NA,NA,5.3,NA,NA,NA,NA,27.3,NA,15.1,15.4,-13,21.4,10,15,NA,17.3,29.6,NA,NA,NA,NA,NA,2.1,NA,NA,6.9,NA,NA,NA,NA,5.3,NA,NA,1.5
1989-07-01,NA,NA,6.8,NA,NA,NA,NA,27.3,NA,13.1,13.4,-13,15.1,7.8,14.7,NA,18,28.7,NA,NA,NA,NA,NA,-1.4,NA,NA,7.4,NA,NA,NA,NA,7.4,NA,NA,0.5
1989-08-01,NA,NA,8.6,NA,NA,NA,NA,26.5,NA,13.9,14.2,-13,15.1,11.4,16.5,NA,11.5,28.7,NA,NA,NA,NA,NA,-3.9,NA,NA,4.1,NA,NA,NA,NA,6.2,NA,NA,-0.5
1989-09-01,NA,NA,5.8,NA,NA,NA,NA,23.2,NA,18.7,18.8,-13,22.6,24.5,19.5,NA,18,26.5,NA,NA,NA,NA,NA,-4.8,NA,NA,0.9,NA,NA,NA,NA,3.6,NA,NA,10.5
1989-10-01,NA,NA,7.3,NA,NA,NA,NA,21,NA,18.4,18.5,-13,17,25.6,16.8,NA,10.7,29.5,NA,NA,NA,NA,NA,-5.8,NA,NA,1.8,NA,NA,NA,NA,3.2,NA,NA,17.5
1989-11-01,NA,NA,11.4,NA,NA,NA,NA,24.3,NA,23.7,23.7,6.5,20.7,37.8,26.1,NA,6.1,29,NA,NA,NA,NA,NA,-7.9,NA,NA,-0.1,NA,NA,NA,NA,5.3,NA,NA,14.5
1989-12-01,NA,NA,8.2,NA,NA,NA,NA,26.4,NA,21.4,21.5,6.5,17,34.9,32.9,NA,6.1,27.9,NA,NA,NA,NA,NA,-10.2,NA,NA,1,NA,NA,NA,NA,2.5,NA,NA,15.5
1990-01-01,NA,NA,7.8,NA,NA,NA,NA,22,NA,20.1,20.1,6.5,12.9,35.3,36.9,NA,4.9,25.3,NA,NA,NA,NA,NA,-8.6,NA,NA,6.2,NA,NA,NA,NA,-0.5,NA,NA,15.5
1990-02-01,NA,NA,6.2,NA,NA,NA,NA,21.5,NA,26.2,26.1,6.5,11.7,46.6,38.5,NA,17.6,31.3,NA,NA,NA,NA,NA,-5.3,NA,NA,5.1,NA,NA,NA,NA,11.4,NA,NA,23
1990-03-01,NA,NA,3.1,NA,NA,NA,NA,13.5,NA,23.9,23.7,6.5,8.1,44.2,32.7,NA,12,31,NA,NA,NA,NA,NA,-5.2,NA,NA,0.9,NA,NA,NA,NA,8,NA,NA,17
1990-04-01,NA,NA,7.2,NA,NA,NA,NA,13.5,NA,18.6,18.5,6.5,15,26.3,21.1,NA,5.4,28.4,NA,NA,NA,NA,NA,-2.7,NA,NA,0.5,NA,NA,NA,NA,3.9,NA,NA,19.5
1990-05-01,NA,NA,3.5,NA,NA,NA,NA,20,NA,20.2,20.2,-3.6,20.2,28.2,30.8,NA,8.8,27.3,NA,NA,NA,NA,NA,1.9,NA,NA,-2.1,NA,NA,NA,NA,4.2,NA,NA,20.5
1990-06-01,NA,NA,1.9,NA,NA,NA,NA,20,NA,18.8,18.9,-3.6,14.8,25.9,34.6,NA,9.3,28.3,NA,NA,NA,NA,NA,-0.5,NA,NA,-2.5,NA,NA,NA,NA,7.6,NA,NA,27
